idx,Atomic Number,Mass Number,Prompt Counts,Delayed Counts
0,1,3,203503.0,
1,1,4,662.0,
2,1,5,4.0,
3,1,6,4.0,
4,2,5,,2.0
5,2,6,1296.0,
6,2,7,21.0,
7,2,8,11.0,
8,2,9,2.0,
9,3,4,12.0,
10,3,5,6.0,
11,3,6,3136.0,726.0
12,3,7,1806.0,302.0
13,3,8,425.0,13.0
14,3,9,53.0,
15,3,10,2.0,
16,4,6,1.0,
17,4,7,305.0,
18,4,8,777.0,363.0
19,4,9,662.0,40.0
20,4,10,281.0,
21,4,11,16.0,
22,4,12,3.0,
23,4,13,1.0,
24,5,8,15.0,
25,5,9,11.0,
26,5,10,412.0,275.0
27,5,11,677.0,169.0
28,5,12,110.0,3.0
29,5,13,20.0,
30,5,14,5.0,
31,6,10,11.0,
32,6,11,142.0,
33,6,12,2338.0,116.0
34,6,13,738.0,101.0
35,6,14,469.0,11.0
36,6,15,43.0,
37,6,17,1.0,
38,7,12,3.0,
39,7,13,81.0,
40,7,14,880.0,498.0
41,7,15,1270.0,265.0
42,7,16,164.0,4.0
43,7,17,45.0,2.0
44,7,18,9.0,
45,7,19,1.0,
46,8,14,14.0,
47,8,15,190.0,
48,8,16,2888.0,218.0
49,8,17,659.0,69.0
50,8,18,595.0,273.0
51,8,19,110.0,5.0
52,8,20,52.0,
53,8,21,14.0,
54,8,22,1.0,
55,9,17,19.0,
56,9,18,233.0,7.0
57,9,19,519.0,332.0
58,9,20,362.0,104.0
59,9,21,129.0,31.0
60,9,22,63.0,4.0
61,9,23,9.0,
62,9,24,2.0,
63,10,18,7.0,
64,10,19,46.0,
65,10,20,2470.0,834.0
66,10,21,2013.0,351.0
67,10,22,2361.0,2142.0
68,10,23,299.0,22.0
69,10,24,151.0,4.0
70,10,25,9.0,
71,10,26,3.0,
72,11,20,3.0,
73,11,21,55.0,
74,11,22,928.0,38.0
75,11,23,3530.0,648.0
76,11,24,1187.0,747.0
77,11,25,582.0,19.0
78,11,26,133.0,6.0
79,11,27,21.0,
80,11,28,5.0,
81,11,30,1.0,
82,11,31,1.0,
83,12,22,14.0,
84,12,23,220.0,
85,12,24,5306.0,3886.0
86,12,25,4573.0,973.0
87,12,26,6234.0,3339.0
88,12,27,1172.0,44.0
89,12,28,424.0,5.0
90,12,29,31.0,
91,12,30,13.0,2.0
92,12,31,1.0,4.0
93,13,25,73.0,2.0
94,13,26,1495.0,37.0
95,13,27,8426.0,2663.0
96,13,28,3333.0,1380.0
97,13,29,1854.0,74.0
98,13,30,470.0,42.0
99,13,31,121.0,5.0
100,13,32,26.0,
101,13,33,7.0,
102,13,34,1.0,
103,13,35,3.0,
104,13,36,1.0,
105,14,25,1.0,
106,14,26,26.0,
107,14,27,269.0,
108,14,28,12360.0,7526.0
109,14,29,14074.0,3896.0
110,14,30,19045.0,3515.0
111,14,31,6673.0,276.0
112,14,32,4825.0,30.0
113,14,33,568.0,7.0
114,14,34,247.0,5.0
115,14,35,16.0,9.0
116,14,36,25.0,1.0
117,14,37,4.0,
118,15,28,1.0,
119,15,29,105.0,
120,15,30,2298.0,26.0
121,15,31,16447.0,7047.0
122,15,32,14348.0,4851.0
123,15,33,15065.0,610.0
124,15,34,4973.0,646.0
125,15,35,2601.0,54.0
126,15,36,559.0,96.0
127,15,37,300.0,4.0
128,15,38,70.0,
129,16,30,14.0,
130,16,31,248.0,
131,16,32,14630.0,19204.0
132,16,33,29181.0,15751.0
133,16,34,67256.0,7969.0
134,16,35,53750.0,5229.0
135,16,36,64759.0,3097.0
136,16,37,15063.0,912.0
137,16,38,6927.0,169.0
138,16,39,218.0,
139,17,32,2.0,
140,17,33,73.0,
141,17,34,1763.0,113.0
142,17,35,33768.0,56874.0
143,17,36,48717.0,10.0
144,17,37,99827.0,169582.0
145,17,38,67864.0,14646.0
146,17,39,67718.0,586.0
147,17,40,20139.0,
148,17,41,1.0,
149,18,34,14.0,
150,18,35,495.0,
151,18,36,32421.0,47821.0
152,18,37,91423.0,48260.0
153,18,38,533301.0,128841.0
154,18,39,1184938.0,167584.0
155,18,40,2947375.0,58039.0
156,18,41,94401.0,1783214.0
157,18,42,5.0,
158,19,36,2.0,
159,19,37,6.0,
160,19,38,177.0,10.0
161,19,39,4573.0,1254208.0
162,19,40,2520.0,
163,19,41,479.0,3740663.0
164,19,42,50.0,5.0
165,19,43,1.0,
166,20,40,1.0,2236.0
167,20,41,2.0,
168,20,42,5.0,62.0
169,20,43,45.0,3.0
170,20,44,1.0,
171,21,45,1.0,
