,Iso Symbol,Atomic Number,Mass Number,Counts,Production Yield,Stable,Half Life (ns),"Decay Modes (m, b, q MeV)",Max Q-Value,Plot Colour,Production (/yr),Decays (/yr),BDecay 0-100 (keV),GDecay 10-400 (keV)
0,S 16-35,16,35,5464,0.0003009952232983524,False,7550000.0,"[['B-', 1.0, 0.167]]",0.167,red,188.3488452257842,188.3488452257842,True,False
1,Na 11-24,11,24,758,4.175592592608915e-05,False,54000.0,"[['B-', 1.0, 5.515]]",5.515,red,26.128921061702858,26.128921061702858,True,
2,P 15-33,15,33,637,3.509040213049972e-05,False,2190000.0,"[['B-', 1.0, 0.249]]",0.249,red,21.95794553602206,21.95794553602206,True,False
3,Cl 17-39,17,39,527,2.9030835043600237e-05,False,3370.0,"[['B-', 1.0, 3.442]]",3.442,red,18.16614960358497,18.16614960358497,True,True
4,Si 14-31,14,31,252,1.3881917326351537e-05,False,9440.0,"[['B-', 1.0, 1.492]]",1.492,red,8.686659772492243,8.686659772492243,True,False
5,Cl 17-34,17,34,144,7.932524186486592e-06,False,1.53,"[['EC', 1.0, 5.492]]",5.492,red,4.963805584281282,4.963805584281282,False,True
6,S 16-38,16,38,131,7.216393530762109e-06,False,10200.0,"[['B-', 1.0, 2.937]]",2.937,red,4.515684246811444,4.515684246811444,True,True
7,Al 13-29,13,29,94,5.178175510623192e-06,False,394.0,"[['B-', 1.0, 3.68]]",3.68,red,3.2402619786280593,3.2402619786280593,False,True
8,P 15-35,15,35,79,4.351870907864172e-06,False,47.3,"[['B-', 1.0, 3.989]]",3.989,red,2.723198896932092,2.723198896932092,True,False
9,P 15-36,15,36,66,3.635740252139688e-06,False,5.6,"[['B-', 1.0, 10.413]]",10.413,red,2.2750775594622543,2.2750775594622543,False,True
10,Mg 12-27,12,27,54,2.974696569932472e-06,False,567.0,"[['B-', 1.0, 2.61]]",2.61,red,1.8614270941054807,1.8614270941054807,False,True
11,Na 11-25,11,25,35,1.92804407310438e-06,False,59.1,"[['B-', 1.0, 3.835]]",3.835,red,1.206480523957256,1.206480523957256,False,True
12,Si 14-32,14,32,34,1.872957099587112e-06,False,4830000000.0,"[['B-', 1.0, 0.224]]",0.224,red,1.1720096518441916,1.1720096518441916,True,False
13,F 9-21,9,21,13,7.16130655724484e-07,False,4.16,"[['B-', 1.0, 5.684]]",5.684,red,0.44812133746983795,0.44812133746983795,False,True
14,C 6-14,6,14,12,6.610436822072161e-07,False,180000000000.0,"[['B-', 1.0, 0.156]]",0.156,red,0.4136504653567735,0.4136504653567735,True,False
15,K 19-38,19,38,11,6.05956708689948e-07,False,458.0,"[['EC', 1.0, 5.914]]",5.914,red,0.37917959324370903,0.37917959324370903,False,True
16,Si 14-35,14,35,10,5.508697351726801e-07,False,0.78,"[['B-', 1.0, 10.497], ['BN', 0.05, 10.497]]",10.497,red,0.3447087211306446,0.3447087211306446,False,True
17,Mg 12-28,12,28,9,4.95782761655412e-07,False,75300.0,"[['B-', 1.0, 1.832]]",1.832,red,0.3102378490175801,0.3102378490175801,True,True
18,K 19-42,19,42,8,4.40695788138144e-07,False,44400.0,"[['B-', 1.0, 3.526]]",3.526,red,0.2757669769045157,0.2757669769045157,True,True
19,O 8-19,8,19,8,4.40695788138144e-07,False,26.9,"[['B-', 1.0, 4.822]]",4.822,red,0.2757669769045157,0.2757669769045157,True,True
20,Al 13-25,13,25,3,1.6526092055180402e-07,False,7.18,"[['EC', 1.0, 4.277]]",4.277,red,0.10341261633919338,0.10341261633919338,False,True
21,Sc 21-44,21,44,1,5.5086973517268e-08,False,14300.0,"[['EC', 1.0, 3.652]]",3.652,red,0.03447087211306446,0.03447087211306446,False,True
22,S 16-39,16,39,1,5.5086973517268e-08,False,11.5,"[['B-', 1.0, 6.638]]",6.638,red,0.03447087211306446,0.03447087211306446,False,True
